1024,3,0.0443136
4096,3,0.0512506
16384,3,0.0564978
65536,3,0.0665296
262144,3,0.0798508
1048576,3,0.0853347
4194304,3,0.096644
16777216,3,0.11495
67108864,3,0.128836
268435456,3,0.155572
1024,4,0.0692751
4096,4,0.0821
16384,4,0.0925032
65536,4,0.110039
262144,4,0.119234
1048576,4,0.137486
4194304,4,0.144616
16777216,4,0.164837
67108864,4,0.175018
268435456,4,0.197138
1024,5,0.10467
4096,5,0.10792
16384,5,0.128871
65536,5,0.145405
262144,5,0.162602
1048576,5,0.188127
4194304,5,0.197247
16777216,5,0.213326
67108864,5,0.218976
268435456,5,0.256655
1073741824,3,0.201179
1073741824,4,0.209706
1073741824,5,0.276045
