1024,3,0.0461703
4096,3,0.0549994
1024,3,0.0486087
4096,3,0.0539279
16384,3,0.0629154
65536,3,0.0745271
262144,3,0.0883324
1048576,3,0.0927608
4194304,3,0.111202
16777216,3,0.126
67108864,3,0.125868
268435456,3,0.179091
1024,4,0.0753742
4096,4,0.0952794
16384,4,0.0939838
65536,4,0.121166
262144,4,0.130882
1048576,4,0.151184
4194304,4,0.160874
16777216,4,0.176758
67108864,4,0.19206
268435456,4,0.218702
1024,5,0.113535
4096,5,0.119524
16384,5,0.141176
65536,5,0.158011
262144,5,0.178069
1048576,5,0.209032
4194304,5,0.215062
16777216,5,0.240395
67108864,5,0.257112
268435456,5,0.279551
1073741824,3,0.229336
1073741824,4,0.238334
1073741824,5,0.312026
