1024,3,0.0588493
4096,3,0.0719309
16384,3,0.0731683
65536,3,0.0910517
262144,3,0.106938
1048576,3,0.115691
4194304,3,0.134958
16777216,3,0.147687
67108864,3,0.157238
268435456,3,0.19219
1024,4,0.0884266
4096,4,0.10546
16384,4,0.122608
65536,4,0.141502
262144,4,0.149918
1048576,4,0.168229
4194304,4,0.190181
16777216,4,0.207868
67108864,4,0.224508
268435456,4,0.242844
1024,5,0.1314
4096,5,0.131652
16384,5,0.173544
65536,5,0.18118
262144,5,0.205124
1048576,5,0.24515
4194304,5,0.253957
16777216,5,0.273954
67108864,5,0.290142
268435456,5,0.332538
1073741824,3,0.252634
1073741824,4,0.275928
1073741824,5,0.367268
