1024,3,0.0431411
4096,3,0.0489529
16384,3,0.0565379
65536,3,0.0677622
262144,3,0.0738714
1048576,3,0.0768845
4194304,3,0.100808
16777216,3,0.110415
67108864,3,0.126261
268435456,3,0.154101
1024,4,0.0680716
4096,4,0.0836963
16384,4,0.0940367
65536,4,0.109336
262144,4,0.117001
1048576,4,0.135972
4194304,4,0.144991
16777216,4,0.165577
67108864,4,0.171558
268435456,4,0.198456
1024,5,0.103115
4096,5,0.108044
16384,5,0.129482
65536,5,0.145019
262144,5,0.161591
1048576,5,0.188216
4194304,5,0.196888
16777216,5,0.209788
67108864,5,0.23079
268435456,5,0.253359
1073741824,3,0.196854
1073741824,4,0.216072
1073741824,5,0.281725
