1024,3,0.0266534,23190.4,0.0282875,23702.4,0.0580412,0.00310026,0.000648042,0.000824297,7846.08
4096,3,0.0298785,42816.7,0.0314462,43584.7,0.0658091,0.00448441,0.000973553,0.00103862,15339.2
16384,3,0.0331841,67591.8,0.0357604,68823.8,0.0751207,0.00617619,0.00129263,0.00120129,24117.6
65536,3,0.0385214,128956,0.0420438,130876,0.0906342,0.0100691,0.00216517,0.00165838,48670.4
262144,3,0.0413185,232862,0.0452661,235934,0.102589,0.0160046,0.00347357,0.00218118,92861.9
1048576,3,0.0433374,376516,0.047646,381396,0.116442,0.0254589,0.00548128,0.00291647,152327
4194304,3,0.0544626,691991,0.0617095,699751,0.159523,0.0433513,0.00987175,0.00431968,285322
16777216,3,0.0588711,1.21784e+06,0.0685215,1.23021e+06,0.195725,0.0683319,0.0169694,0.0057784,513596
67108864,3,0.0657907,1.96943e+06,0.0796549,1.98909e+06,0.240433,0.0949871,0.0262867,0.0067486,827954
268435456,3,0.0776966,3.49869e+06,0.10033,3.52996e+06,0.315007,0.13698,0.0420084,0.00869727,1.52464e+06
1024,4,0.0424456,26675.4,0.0433041,26963.4,0.0898019,0.00405218,0.000843915,0.0012329,9413.6
4096,4,0.0498506,44418.7,0.0516705,44786.7,0.107048,0.00552707,0.00116055,0.00150546,16554.9
16384,4,0.0549768,65857.2,0.0570456,66369.2,0.119136,0.00711317,0.00154357,0.0017647,25557
65536,4,0.0622148,105829,0.0652486,106533,0.137293,0.00982974,0.00215482,0.0021281,42486.2
262144,4,0.0659343,154976,0.0694539,155984,0.148494,0.0131059,0.0027838,0.00245363,62965.9
1048576,4,0.0752243,247478,0.0797228,248870,0.174346,0.0193989,0.00418725,0.00316697,101695
4194304,4,0.0797255,365431,0.0848648,367399,0.19048,0.02589,0.00571874,0.00373838,152996
16777216,4,0.0902115,575750,0.096044,578518,0.225239,0.0389836,0.00858168,0.00490445,247313
67108864,4,0.0927548,848259,0.100344,852163,0.247927,0.054828,0.0121861,0.0060158,367964
268435456,4,0.107121,1.31568e+06,0.114265,1.32118e+06,0.301534,0.0801478,0.0186407,0.00783503,582448
1024,5,0.0627254,33637.1,0.0635384,33845.1,0.131768,0.00550384,0.0011553,0.00174827,12322.6
4096,5,0.0649536,44704.2,0.0659261,44944.2,0.137162,0.00628266,0.00130399,0.00185234,17294.2
16384,5,0.0755807,64386.5,0.0769911,64706.5,0.160741,0.00816963,0.00168893,0.00226049,25577.9
65536,5,0.0829652,93031.9,0.0853389,93431.9,0.178431,0.0101271,0.00213947,0.00259365,37610.2
262144,5,0.0909065,131721,0.0943694,132249,0.198201,0.0129252,0.00277493,0.00302022,54107.7
1048576,5,0.103832,195046,0.108663,195734,0.229933,0.017438,0.00384506,0.00365619,83758.7
4194304,5,0.108541,260950,0.112537,261878,0.243006,0.0219283,0.00467422,0.00410077,109373
16777216,5,0.114705,369318,0.120045,370502,0.263491,0.0287417,0.00620402,0.00479954,159560
67108864,5,0.125379,521351,0.130635,522903,0.294491,0.0384773,0.00832688,0.00570577,228398
268435456,5,0.137816,727484,0.142741,729532,0.328478,0.0479211,0.0104819,0.0064327,323143
1073741824,3,0.106979,6.0759e+06,0.129765,6.12562e+06,0.42443,0.187686,0.0535528,0.012488,2.65274e+06
1073741824,4,0.116513,1.93663e+06,0.124575,1.94445e+06,0.349491,0.108403,0.0268157,0.00954211,861294
1073741824,5,0.153893,1.05914e+06,0.155683,1.06182e+06,0.380074,0.0704981,0.015472,0.00844328,471478
